Paesi,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JAPAN,3345.0,3837.0,4218.0,4106.0,4438.0,4757.0,4772.0,5239.0,5212.0,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31191.0,31881.0,4115.8
JORDAN,3277.0,3164.0,3068.0,3438.0,3231.0,2700.0,3034.0,4677.0,4600.0,5587.0,5817.0,6573.0,6529.0,7100.0,7085.0,8078.0,6813.0,6314.0,5389.0,5327.0,4809.0,4236.0,4565.0,4922.0,5361.0,1240.0
KAZAKHSTAN,,202.0,284.0,257.0,394.0,1683.0,2693.0,3678.0,3237.0,4291.0,4365.0,4707.0,5311.0,4117.0,3774.0,4097.0,5685.0,6163.0,6841.0,6333.0,6430.0,6509.0,7701.0,8789.0,8515.0,2035.0
KENYA,974.0,1003.0,1001.0,894.0,969.0,1037.0,994.0,1001.0,1146.0,1361.0,1479.0,1601.0,1817.0,1203.0,1490.0,1609.0,1823.0,1711.0,1520.0,1350.0,1181.0,1340.0,1449.0,2025.0,2049.0,568.0
KIRIBATI,,,,,20.3,13.4,14.5,119.5,130.1,63.9,50.2,10.8,32.3,,,,,,,8.3,8.2,7.6,7.5,9.0,12.0,
"KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF",,,,,,,,,,,,,,,,,,,,,,,,,,
"KOREA, REPUBLIC OF",3753.0,3684.0,3908.0,4250.0,4660.0,5322.0,5147.0,5347.0,4753.0,5818.0,6023.0,6155.0,6448.0,6891.0,7818.0,8798.0,9795.0,11140.0,12176.0,14202.0,13232.0,17242.0,13336.0,15347.0,17503.0,2519.0
KUWAIT,1443.0,1565.0,1638.0,1763.0,1884.0,1944.0,2072.0,2316.0,2602.0,3056.0,3474.0,3899.0,4482.0,4736.0,5088.0,5208.0,5574.0,5729.0,6217.0,6528.0,6941.0,7055.0,7407.0,8508.0,8565.0,2161.0
KYRGYZSTAN,,,,290.0,165.0,173.0,199.0,183.0,342.0,398.0,319.0,766.0,1656.0,2379.0,2451.0,1224.0,3025.0,3393.0,4134.0,3791.0,4000.0,3853.0,4568.0,6947.0,8508.0,2079.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,346.0,403.0,463.0,500.0,614.0,737.0,674.0,736.0,636.0,895.0,1095.0,1215.0,1624.0,1737.0,2008.0,2513.0,2724.0,3330.0,3779.0,4159.0,4684.0,4239.0,3869.0,4186.0,4791.0,886.4
LATVIA,1633.0,1750.0,1842.0,1788.0,1738.0,1882.0,2061.0,2297.0,2524.0,3127.0,3791.0,4649.0,5209.0,5496.0,4727.0,5042.0,5538.0,5569.0,5822.0,6246.0,6842.0,6797.0,7726.0,7775.0,8342.0,3204.0
LEBANON,,,,,,,,,,,,,,,,,,,,,,,,,,
LESOTHO,209.0,312.0,313.0,290.0,308.0,302.0,295.0,287.0,329.0,304.0,304.0,357.0,300.0,293.0,344.0,426.0,398.0,423.0,433.0,1079.0,1082.0,1196.0,1137.0,1173.0,1142.0,
LIBERIA,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBYA,1832.0,1276.0,913.0,850.0,965.0,963.0,953.0,858.0,958.0,,,125.0,106.0,760.0,,,,,,,,,,,,
LIECHTENSTEIN,,,,,,,,,,,,,,,,,,,,,,,,,,
LITHUANIA,2600.0,3497.0,3702.0,4287.0,4454.0,4092.0,4195.0,3999.0,3635.0,,,,4251.0,4459.0,4001.0,4073.0,4504.0,4979.0,5264.0,5217.0,5048.0,5322.0,5590.0,6115.0,6150.0,2284.0
LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,
"MACAO, CHINA",7752.0,8151.0,7000.0,6949.0,7444.0,9162.0,10279.0,11531.0,11888.0,16673.0,18711.0,21998.0,27003.0,22933.0,21753.0,24965.0,28002.0,28082.0,29325.0,31526.0,30715.0,30950.0,32611.0,35804.0,39406.0,5897.0
MADAGASCAR,115.0,,,,,,,,,,,,,,,,,,,,282.0,333.0,285.0,360.0,486.0,87.1
MALAWI,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAYSIA,14885.0,14084.0,12591.0,10886.0,13910.0,17213.0,22995.0,20756.0,16293.0,24432.0,24209.0,25298.0,28325.0,25321.0,31509.0,,,,,,,,,,35046.0,6102.0
MALDIVES,,,,,,,,,,,,,,,,,,,,,,,,,,
MALI,,,,,,,,,,,,,,,,,,,,,,,,,,
MALTA,1193.0,1123.0,1238.0,1326.0,1402.0,1387.0,1439.0,1483.0,1512.0,1428.0,1484.0,1521.0,1723.0,1832.0,1608.0,1815.0,1916.0,2007.0,2013.0,2162.0,2383.0,2592.0,2944.0,3232.0,3519.0,718.0
MARSHALL ISLANDS,,,,,,,,,,,,,,,,,,,,,,6.5,7.9,,,2.0
MARTINIQUE,885.0,885.0,900.0,964.0,903.0,816.0,663.0,654.0,722.0,630.0,577.0,599.0,573.0,568.0,511.0,553.0,538.0,603.0,622.0,696.0,762.0,842.0,1003.0,1002.0,919.0,523.6
MAURITANIA,,,,,,,,,,,,,,,,,,,,,,,,,,
MAURITIUS,437.0,509.0,558.0,579.0,600.0,678.0,675.0,709.0,721.0,739.0,782.0,807.0,933.0,970.0,890.0,956.0,983.0,984.0,1015.0,1065.0,1174.0,1307.0,1371.0,1431.0,1418.0,316.0
MEXICO,85446.0,90394.0,92915.0,95214.0,99869.0,105673.0,100718.0,100153.0,92330.0,99250.0,103146.0,97701.0,93582.0,92948.0,88044.0,81953.0,75732.0,76749.0,78100.0,81042.0,87129.0,94853.0,99349.0,96497.0,97406.0,51128.0
"MICRONESIA, FEDERATED STATES OF",,,,,,,,,,,,,,,,,,,,,,,,,,
"MOLDOVA, REPUBLIC OF",32.8,28.9,21.2,19.9,14.1,19.0,15.7,20.2,23.6,,,,,,,,,,,,,,,,,
MONACO,,,,,,,,,,,,,,,,,,,,,,,,,,
MONGOLIA,108.0,71.0,82.0,197.0,160.0,158.0,192.0,235.0,205.0,305.0,345.0,408.0,455.0,469.0,465.0,557.0,627.0,624.0,515.0,506.0,467.0,471.0,543.0,598.0,637.0,66.9
MONTENEGRO,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTSERRAT,19.3,9.0,6.1,9.4,13.0,14.3,15.6,15.0,13.6,15.2,13.1,9.5,8.7,8.4,7.3,7.7,7.4,9.905,8.7,10.7,13.3,13.5,18.6,16.7,19.3,7.7
MOROCCO,2752.0,2856.0,3203.0,3267.0,4088.0,4458.0,4596.0,4709.0,5021.0,5732.0,6077.0,6777.0,7701.0,8209.0,8661.0,9752.0,9784.0,9830.0,10349.0,10507.0,10542.0,10677.0,11540.0,12489.0,13109.0,2802.0
MOZAMBIQUE,,,,,,,404.0,943.0,726.0,711.0,954.0,1095.0,1259.0,1439.0,1711.0,1836.0,2013.0,2206.0,1970.0,1751.0,1634.0,1715.0,1514.0,2870.0,2033.0,959.0
MYANMAR,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMIBIA,421.0,560.0,610.0,681.0,694.0,759.0,700.0,799.0,739.0,986.0,856.0,961.0,1048.0,1079.0,1100.0,1114.0,1163.0,1245.0,1327.0,1429.0,1488.0,1551.0,1581.0,1639.0,1651.0,187.1
NAURU,,,,,,,,,,,,,,,,,,,,,,,,,,
NEPAL,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW CALEDONIA,122.0,138.0,139.0,127.0,151.0,161.0,152.0,158.0,166.0,177.0,182.0,219.0,227.0,256.0,230.0,282.0,348.0,390.0,494.0,529.0,558.0,625.0,626.0,576.0,474.0,
NEW ZEALAND,1409.0,1529.0,1497.0,1485.0,1607.0,1787.0,1909.0,2045.0,2104.0,2334.0,2366.0,2409.0,2455.0,2483.0,2473.0,2530.0,2617.0,2574.0,2710.0,2854.0,3129.0,3494.0,3723.0,3858.0,3888.0,996.0
NICARAGUA,341.0,388.0,453.0,483.0,530.0,581.0,584.0,579.0,646.0,735.0,804.0,891.0,978.0,1011.0,1010.0,1071.0,1122.0,1233.0,1273.0,1390.0,1456.0,1596.0,1958.0,1412.0,1455.0,474.0
NIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
